decade,genre1,genre2,movie_count,combination
1920,Crime,Sci-Fi,1,Crime + Sci-Fi
1920,Crime,Sport,3,Crime + Sport
1920,Crime,Thriller,17,Crime + Thriller
1920,Crime,War,2,Crime + War
1920,Crime,Western,21,Crime + Western
1920,Documentary,Drama,15,Documentary + Drama
1920,Documentary,Fantasy,2,Documentary + Fantasy
1920,Documentary,History,8,Documentary + History
1920,Documentary,Horror,1,Documentary + Horror
1920,Documentary,News,1,Documentary + News
1920,Documentary,Sci-Fi,1,Documentary + Sci-Fi
1920,Documentary,Sport,15,Documentary + Sport
1920,Documentary,War,2,Documentary + War
1920,Drama,Family,35,Drama + Family
1920,Drama,Fantasy,44,Drama + Fantasy
1920,Drama,Film-Noir,4,Drama + Film-Noir
1920,Drama,History,177,Drama + History
1920,Drama,Horror,49,Drama + Horror
1920,Drama,Music,24,Drama + Music
1920,Drama,Musical,33,Drama + Musical
1920,Drama,Mystery,111,Drama + Mystery
1920,Drama,Romance,1145,Drama + Romance
1920,Drama,Sci-Fi,9,Drama + Sci-Fi
1920,Drama,Sport,66,Drama + Sport
1920,Drama,Thriller,65,Drama + Thriller
1920,Drama,War,142,Drama + War
1920,Drama,Western,1296,Drama + Western
1920,Family,Fantasy,8,Family + Fantasy
1920,Family,Musical,1,Family + Musical
1920,Family,Romance,5,Family + Romance
1920,Family,War,1,Family + War
1920,Fantasy,Horror,20,Fantasy + Horror
1920,Fantasy,Music,1,Fantasy + Music
1920,Fantasy,Mystery,5,Fantasy + Mystery
1920,Fantasy,Romance,22,Fantasy + Romance
1920,Fantasy,Sci-Fi,5,Fantasy + Sci-Fi
1920,Fantasy,Thriller,1,Fantasy + Thriller
1920,Fantasy,War,1,Fantasy + War
1920,History,Romance,27,History + Romance
1920,History,Sport,1,History + Sport
1920,History,Thriller,2,History + Thriller
1920,History,War,27,History + War
1920,History,Western,2,History + Western
1920,Horror,Music,1,Horror + Music
1920,Horror,Mystery,26,Horror + Mystery
1920,Horror,Romance,9,Horror + Romance
1920,Horror,Sci-Fi,4,Horror + Sci-Fi
1920,Horror,Thriller,13,Horror + Thriller
1920,Music,Musical,1,Music + Musical
1920,Music,Romance,16,Music + Romance
1920,Music,War,2,Music + War
1920,Musical,Romance,24,Musical + Romance
1920,Musical,War,1,Musical + War
1920,Musical,Western,1,Musical + Western
1920,Mystery,Romance,18,Mystery + Romance
1920,Mystery,Sci-Fi,2,Mystery + Sci-Fi
1920,Mystery,Sport,1,Mystery + Sport
1920,Mystery,Thriller,16,Mystery + Thriller
1920,Mystery,Western,8,Mystery + Western
1920,News,Sport,1,News + Sport
1920,Romance,Sci-Fi,1,Romance + Sci-Fi
1920,Romance,Sport,31,Romance + Sport
1920,Romance,Thriller,12,Romance + Thriller
1920,Romance,War,44,Romance + War
1920,Romance,Western,48,Romance + Western
1920,Sport,Thriller,1,Sport + Thriller
1920,Thriller,Western,6,Thriller + Western
1920,War,Western,2,War + Western
1930,Action,Adventure,286,Action + Adventure
1930,Action,Biography,3,Action + Biography
1930,Action,Comedy,118,Action + Comedy
1930,Action,Crime,275,Action + Crime
1930,Action,Documentary,2,Action + Documentary
1930,Action,Drama,434,Action + Drama
1930,Action,Family,12,Action + Family
1930,Action,Fantasy,6,Action + Fantasy
1930,Action,History,13,Action + History
1930,Action,Horror,5,Action + Horror
1930,Action,Music,18,Action + Music
1930,Action,Musical,3,Action + Musical
1930,Action,Mystery,33,Action + Mystery
1930,Action,Romance,118,Action + Romance
1930,Action,Sci-Fi,2,Action + Sci-Fi
1930,Action,Sport,6,Action + Sport
1930,Action,Thriller,6,Action + Thriller
1930,Action,War,16,Action + War
1930,Action,Western,8,Action + Western
1930,Adventure,Animation,4,Adventure + Animation
1930,Adventure,Biography,6,Adventure + Biography
1930,Adventure,Comedy,142,Adventure + Comedy
1930,Adventure,Crime,178,Adventure + Crime
1930,Adventure,Documentary,13,Adventure + Documentary
1930,Adventure,Drama,338,Adventure + Drama
1930,Adventure,Family,46,Adventure + Family
1930,Adventure,Fantasy,23,Adventure + Fantasy
1930,Adventure,Film-Noir,1,Adventure + Film-Noir
1930,Adventure,History,28,Adventure + History
1930,Adventure,Horror,12,Adventure + Horror
1930,Adventure,Music,18,Adventure + Music
1930,Adventure,Musical,9,Adventure + Musical
1930,Adventure,Mystery,26,Adventure + Mystery
1930,Adventure,News,1,Adventure + News
1930,Adventure,Romance,134,Adventure + Romance
1930,Adventure,Sci-Fi,9,Adventure + Sci-Fi
1930,Adventure,Thriller,12,Adventure + Thriller
1930,Adventure,War,20,Adventure + War
1930,Adventure,Western,16,Adventure + Western
1930,Animation,Comedy,4,Animation + Comedy
1930,Animation,Documentary,2,Animation + Documentary
1930,Animation,Family,2,Animation + Family
1930,Animation,Fantasy,2,Animation + Fantasy
1930,Animation,History,1,Animation + History
1930,Animation,Music,1,Animation + Music
1930,Biography,Comedy,4,Biography + Comedy
1930,Biography,Crime,2,Biography + Crime
1930,Biography,Documentary,3,Biography + Documentary
1930,Biography,Drama,109,Biography + Drama
1930,Biography,Family,3,Biography + Family
1930,Biography,History,40,Biography + History
1930,Biography,Horror,1,Biography + Horror
1930,Biography,Music,10,Biography + Music
1930,Biography,Musical,9,Biography + Musical
1930,Biography,Romance,10,Biography + Romance
1930,Biography,Sport,1,Biography + Sport
1930,Biography,War,6,Biography + War
1930,Biography,Western,2,Biography + Western
1930,Comedy,Crime,289,Comedy + Crime
1930,Comedy,Documentary,4,Comedy + Documentary
1930,Comedy,Drama,768,Comedy + Drama
1930,Comedy,Family,99,Comedy + Family
1930,Comedy,Fantasy,32,Comedy + Fantasy
1930,Comedy,Film-Noir,6,Comedy + Film-Noir
1930,Comedy,History,14,Comedy + History
1930,Comedy,Horror,17,Comedy + Horror
1930,Comedy,Music,180,Comedy + Music
1930,Comedy,Musical,583,Comedy + Musical
1930,Comedy,Mystery,145,Comedy + Mystery
1930,Comedy,News,1,Comedy + News
1930,Comedy,Romance,1039,Comedy + Romance
1930,Comedy,Sci-Fi,6,Comedy + Sci-Fi
1930,Comedy,Sport,51,Comedy + Sport
1930,Comedy,Thriller,12,Comedy + Thriller
1930,Comedy,War,21,Comedy + War
1930,Comedy,Western,18,Comedy + Western
1930,Crime,Documentary,2,Crime + Documentary
1930,Crime,Drama,1044,Crime + Drama
1930,Crime,Family,10,Crime + Family
1930,Crime,Fantasy,3,Crime + Fantasy
1930,Crime,Film-Noir,59,Crime + Film-Noir
1930,Crime,History,4,Crime + History
1930,Crime,Horror,35,Crime + Horror
1930,Crime,Music,18,Crime + Music
1930,Crime,Musical,27,Crime + Musical
1930,Crime,Mystery,295,Crime + Mystery
1930,Crime,Romance,237,Crime + Romance
1930,Crime,Sci-Fi,7,Crime + Sci-Fi
1930,Crime,Sport,4,Crime + Sport
1930,Crime,Thriller,69,Crime + Thriller
1930,Crime,War,2,Crime + War
1930,Crime,Western,3,Crime + Western
1930,Documentary,Drama,20,Documentary + Drama
1930,Documentary,History,16,Documentary + History
1930,Documentary,Horror,1,Documentary + Horror
1930,Documentary,Music,6,Documentary + Music
1930,Documentary,Musical,1,Documentary + Musical
1930,Documentary,News,9,Documentary + News
1930,Documentary,Romance,2,Documentary + Romance
1930,Documentary,Sport,6,Documentary + Sport
1930,Documentary,War,31,Documentary + War
1930,Drama,Family,82,Drama + Family
1930,Drama,Fantasy,37,Drama + Fantasy
